text_id,token,lexicon_value,neg_score,neu_score,pos_score,token_compound
4,yang,0.0,0.0,1.0,0.0,0.0
4,bagus,4.0,0.0,0.0,1.0,0.7184
4,di,0.0,0.0,1.0,0.0,0.0
4,instagram,0.0,0.0,1.0,0.0,0.0
4,story,0.0,0.0,1.0,0.0,0.0
4,terimakasih,0.0,0.0,1.0,0.0,0.0
5,apknya,0.0,0.0,1.0,0.0,0.0
5,sudah,0.0,0.0,1.0,0.0,0.0
5,cukup,3.0,0.0,0.0,1.0,0.6124
5,bagus,4.0,0.0,0.0,1.0,0.7184
5,cuma,-2.0,1.0,0.0,0.0,-0.4588
5,pas,0.0,0.0,1.0,0.0,0.0
5,nonton,0.0,0.0,1.0,0.0,0.0
5,video,0.0,0.0,1.0,0.0,0.0
5,harus,0.0,0.0,1.0,0.0,0.0
5,pencet,0.0,0.0,1.0,0.0,0.0
5,volume,0.0,0.0,1.0,0.0,0.0
5,dulu,0.0,0.0,1.0,0.0,0.0
5,kalau,0.0,0.0,1.0,0.0,0.0
5,mau,0.0,0.0,1.0,0.0,0.0
5,ada,0.0,0.0,1.0,0.0,0.0
5,suara,0.0,0.0,1.0,0.0,0.0
5,jadi,0.0,0.0,1.0,0.0,0.0
5,ribet,0.0,0.0,1.0,0.0,0.0
5,kalau,0.0,0.0,1.0,0.0,0.0
5,dapat,0.0,0.0,1.0,0.0,0.0
5,di,0.0,0.0,1.0,0.0,0.0
5,bikin,0.0,0.0,1.0,0.0,0.0
5,pas,0.0,0.0,1.0,0.0,0.0
5,mencet,0.0,0.0,1.0,0.0,0.0
5,video,0.0,0.0,1.0,0.0,0.0
5,baru,0.0,0.0,1.0,0.0,0.0
5,ada,0.0,0.0,1.0,0.0,0.0
5,suara,0.0,0.0,1.0,0.0,0.0
5,itu,0.0,0.0,1.0,0.0,0.0
5,lebih,0.0,0.0,1.0,0.0,0.0
5,baik,4.0,0.0,0.0,1.0,0.7184
5,mana,-4.0,1.0,0.0,0.0,-0.7184
5,tombol,0.0,0.0,1.0,0.0,0.0
5,volume,0.0,0.0,1.0,0.0,0.0
5,nya,0.0,0.0,1.0,0.0,0.0
5,kecil,-1.0,1.0,0.0,0.0,-0.25
5,lagi,0.0,0.0,1.0,0.0,0.0
6,aplikasi,0.0,0.0,1.0,0.0,0.0
6,sangat,0.0,0.0,1.0,0.0,0.0
6,bagus,4.0,0.0,0.0,1.0,0.7184
6,sayang,4.0,0.0,0.0,1.0,0.7184
6,masih,0.0,0.0,1.0,0.0,0.0
6,sering,0.0,0.0,1.0,0.0,0.0
6,ada,0.0,0.0,1.0,0.0,0.0
6,bug,0.0,0.0,1.0,0.0,0.0
6,sering,0.0,0.0,1.0,0.0,0.0
6,ada,0.0,0.0,1.0,0.0,0.0
6,masalah,-4.0,1.0,0.0,0.0,-0.7184
6,jika,0.0,0.0,1.0,0.0,0.0
6,mau,0.0,0.0,1.0,0.0,0.0
6,komen,0.0,0.0,1.0,0.0,0.0
6,sering,0.0,0.0,1.0,0.0,0.0
6,kena,0.0,0.0,1.0,0.0,0.0
6,batas,0.0,0.0,1.0,0.0,0.0
6,lebih,0.0,0.0,1.0,0.0,0.0
6,oke,3.0,0.0,0.0,1.0,0.6124
6,gara,0.0,0.0,1.0,0.0,0.0
6,gara,0.0,0.0,1.0,0.0,0.0
6,thread,0.0,0.0,1.0,0.0,0.0
6,kita,0.0,0.0,1.0,0.0,0.0
6,dapat,0.0,0.0,1.0,0.0,0.0
6,curhat,0.0,0.0,1.0,0.0,0.0
6,ngoceh,0.0,0.0,1.0,0.0,0.0
6,dan,0.0,0.0,1.0,0.0,0.0
6,sosial,0.0,0.0,1.0,0.0,0.0
6,dengan,0.0,0.0,1.0,0.0,0.0
6,warga,0.0,0.0,1.0,0.0,0.0
6,thread,0.0,0.0,1.0,0.0,0.0
6,sendiri,0.0,0.0,1.0,0.0,0.0
7,jauh,-2.0,1.0,0.0,0.0,-0.4588
7,ini,0.0,0.0,1.0,0.0,0.0
7,suka,4.0,0.0,0.0,1.0,0.7184
7,dan,0.0,0.0,1.0,0.0,0.0
7,sudah,0.0,0.0,1.0,0.0,0.0
7,bagus,4.0,0.0,0.0,1.0,0.7184
7,main,0.0,0.0,1.0,0.0,0.0
7,ini,0.0,0.0,1.0,0.0,0.0
7,cuma,-2.0,1.0,0.0,0.0,-0.4588
7,kok,-2.0,1.0,0.0,0.0,-0.4588
7,terjemah,0.0,0.0,1.0,0.0,0.0
7,hilang,-3.0,1.0,0.0,0.0,-0.6124
7,iya,0.0,0.0,1.0,0.0,0.0
7,sekarang,0.0,0.0,1.0,0.0,0.0
7,harus,0.0,0.0,1.0,0.0,0.0
7,klik,1.0,0.0,0.0,1.0,0.25
7,titik,0.0,0.0,1.0,0.0,0.0
7,dulu,0.0,0.0,1.0,0.0,0.0
7,terus,0.0,0.0,1.0,0.0,0.0
7,klik,1.0,0.0,0.0,1.0,0.25
7,terjemah,0.0,0.0,1.0,0.0,0.0
7,kalau,0.0,0.0,1.0,0.0,0.0
